i	j	val
6	82	0.1
6	83	0.8375
6	84	0.1
6	85	0.1
6	86	0.0875
6	87	0.725
6	88	0.8
6	89	0.925
6	90	0.825
6	91	0.875
6	92	0.75
6	93	0.85
6	94	0.875
6	95	0.1125
6	96	0.7625
6	97	0.9
6	98	0.825
6	99	0.8125
7	0	0.117647058824
7	1	0.926470588235
7	2	0.926470588235
7	3	0.838235294118
7	4	0.867647058824
7	5	0.102941176471
7	6	0.882352941176
7	7	1.0
7	8	0.102941176471
7	9	0.985294117647
7	10	0.161764705882
7	11	0.102941176471
7	12	0.147058823529
7	13	0.897058823529
7	14	0.161764705882
7	15	0.602941176471
7	16	0.117647058824
7	17	0.838235294118
7	18	0.132352941176
7	19	0.911764705882
7	20	0.852941176471
7	21	0.897058823529
7	22	0.117647058824
7	23	0.147058823529
7	24	0.235294117647
7	25	0.191176470588
7	26	0.132352941176
7	27	0.897058823529
7	28	0.808823529412
7	29	0.882352941176
7	30	0.764705882353
7	31	0.764705882353
7	32	0.867647058824
7	33	0.882352941176
7	34	0.911764705882
7	35	0.117647058824
7	36	0.117647058824
7	37	0.117647058824
7	38	0.161764705882
7	39	0.882352941176
7	40	0.161764705882
7	41	0.294117647059
7	42	0.117647058824
7	43	0.220588235294
7	44	0.132352941176
7	45	0.926470588235
7	46	0.941176470588
7	47	0.102941176471
7	48	0.897058823529
7	49	0.117647058824
7	50	0.132352941176
7	51	0.25
7	52	0.220588235294
7	53	0.117647058824
7	54	0.117647058824
7	55	0.147058823529
7	56	0.367647058824
7	57	0.676470588235
7	58	0.676470588235
7	59	0.117647058824
7	60	0.911764705882
7	61	0.882352941176
7	62	0.867647058824
7	63	0.867647058824
7	64	0.823529411765
7	65	0.852941176471
7	66	0.75
7	67	0.720588235294
7	68	0.647058823529
7	69	0.897058823529
7	70	0.794117647059
7	71	0.117647058824
7	72	0.132352941176
7	73	0.617647058824
7	74	0.279411764706
7	75	0.911764705882
7	76	0.897058823529
7	77	0.147058823529
7	78	0.308823529412
7	79	0.117647058824
7	80	0.205882352941
7	81	0.191176470588
7	82	0.117647058824
7	83	0.882352941176
7	84	0.117647058824
7	85	0.117647058824
7	86	0.117647058824
7	87	0.808823529412
7	88	0.867647058824
7	89	0.911764705882
7	90	0.867647058824
7	91	0.911764705882
7	92	0.852941176471
7	93	0.867647058824
7	94	0.926470588235
7	95	0.132352941176
7	96	0.897058823529
7	97	0.911764705882
7	98	0.852941176471
7	99	0.897058823529
8	0	0.971014492754
8	1	0.115942028986
8	2	0.144927536232
8	3	0.0579710144928
8	4	0.231884057971
8	5	0.855072463768
8	6	0.115942028986
8	7	0.101449275362
8	8	1.0
8	9	0.130434782609
8	10	0.782608695652
8	11	0.840579710145
8	12	0.855072463768
8	13	0.0434782608696
8	14	0.898550724638
8	15	0.231884057971
8	16	0.942028985507
8	17	0.115942028986
8	18	0.971014492754
8	19	0.0579710144928
8	20	0.144927536232
8	21	0.0579710144928
8	22	0.971014492754
8	23	0.855072463768
8	24	0.811594202899
8	25	0.811594202899
8	26	0.927536231884
8	27	0.101449275362
8	28	0.202898550725
8	29	0.159420289855
8	30	0.130434782609
8	31	0.0289855072464
8	32	0.0869565217391
8	33	0.0579710144928
8	34	0.0579710144928
8	35	0.95652173913
8	36	0.971014492754
8	37	0.927536231884
8	38	0.884057971014
8	39	0.130434782609
8	40	0.913043478261
8	41	0.68115942029
8	42	0.985507246377
8	43	0.884057971014
8	44	0.971014492754
8	45	0.0724637681159
8	46	0.0724637681159
8	47	0.985507246377
8	48	0.0434782608696
8	49	0.869565217391
8	50	0.942028985507
8	51	0.768115942029
8	52	0.782608695652
8	53	1.0
8	54	1.0
8	55	0.840579710145
8	56	0.652173913043
8	57	0.115942028986
8	58	0.144927536232
8	59	0.942028985507
8	60	0.0724637681159
8	61	0.0579710144928
8	62	0.0579710144928
8	63	0.0724637681159
8	64	0.173913043478
8	65	0.101449275362
8	66	0.246376811594
8	67	0.115942028986
8	68	0.0289855072464
8	69	0.0724637681159
8	70	0.231884057971
8	71	0.898550724638
8	72	1.0
8	73	0.144927536232
8	74	0.63768115942
8	75	0.0724637681159
8	76	0.173913043478
8	77	0.898550724638
8	78	0.68115942029
8	79	0.95652173913
8	80	0.811594202899
8	81	0.768115942029
8	82	0.95652173913
8	83	0.0724637681159
8	84	1.0
8	85	1.0
8	86	0.927536231884
8	87	0.130434782609
8	88	0.0579710144928
8	89	0.0579710144928
8	90	0.130434782609
8	91	0.0724637681159
8	92	0.130434782609
8	93	0.101449275362
8	94	0.115942028986
8	95	0.913043478261
8	96	0.101449275362
8	97	0.0434782608696
8	98	0.115942028986
8	99	0.101449275362
9	0	0.121951219512
9	1	0.865853658537
9	2	0.878048780488
9	3	0.792682926829
9	4	0.817073170732
9	5	0.0975609756098
9	6	0.829268292683
9	7	0.817073170732
9	8	0.109756097561
9	9	1.0
9	10	0.146341463415
9	11	0.109756097561
9	12	0.146341463415
9	13	0.865853658537
9	14	0.170731707317
9	15	0.536585365854
9	16	0.121951219512
9	17	0.792682926829
9	18	0.134146341463
9	19	0.865853658537
9	20	0.841463414634
9	21	0.878048780488
9	22	0.121951219512
9	23	0.146341463415
9	24	0.219512195122
9	25	0.182926829268
9	26	0.134146341463
9	27	0.829268292683
9	28	0.731707317073
9	29	0.756097560976
9	30	0.682926829268
9	31	0.719512195122
9	32	0.792682926829
9	33	0.817073170732
9	34	0.817073170732
9	35	0.121951219512
9	36	0.121951219512
9	37	0.121951219512
9	38	0.158536585366
9	39	0.768292682927
9	40	0.158536585366
9	41	0.268292682927
9	42	0.134146341463
9	43	0.207317073171
9	44	0.134146341463
9	45	0.890243902439
9	46	0.841463414634
9	47	0.109756097561
9	48	0.878048780488
9	49	0.121951219512
9	50	0.134146341463
9	51	0.243902439024
9	52	0.19512195122
9	53	0.121951219512
9	54	0.121951219512
9	55	0.146341463415
9	56	0.329268292683
9	57	0.609756097561
9	58	0.609756097561
9	59	0.121951219512
9	60	0.841463414634
9	61	0.817073170732
9	62	0.80487804878
9	63	0.80487804878
9	64	0.817073170732
9	65	0.80487804878
9	66	0.707317073171
9	67	0.646341463415
9	68	0.634146341463
9	69	0.841463414634
9	70	0.707317073171
9	71	0.121951219512
9	72	0.134146341463
9	73	0.585365853659
9	74	0.256097560976
9	75	0.878048780488
9	76	0.841463414634
9	77	0.146341463415
9	78	0.280487804878
9	79	0.121951219512
9	80	0.19512195122
9	81	0.182926829268
9	82	0.121951219512
9	83	0.841463414634
9	84	0.121951219512
9	85	0.121951219512
9	86	0.121951219512
9	87	0.743902439024
9	88	0.80487804878
9	89	0.890243902439
9	90	0.817073170732
9	91	0.878048780488
9	92	0.780487804878
9	93	0.841463414634
9	94	0.890243902439
9	95	0.134146341463
9	96	0.80487804878
9	97	0.890243902439
9	98	0.817073170732
9	99	0.841463414634
10	0	0.951807228916
10	1	0.144578313253
10	2	0.168674698795
10	3	0.0602409638554
10	4	0.253012048193
10	5	0.915662650602
10	6	0.0481927710843
10	7	0.132530120482
10	8	0.650602409639
10	9	0.144578313253
10	10	1.0
10	11	0.855421686747
10	12	0.975903614458
10	13	0.0722891566265
10	14	0.963855421687
10	15	0.228915662651
10	16	0.951807228916
10	17	0.0843373493976
10	18	0.963855421687
10	19	0.0963855421687
10	20	0.0722891566265
10	21	0.0843373493976
10	22	0.963855421687
10	23	0.975903614458
10	24	0.903614457831
10	25	0.927710843373
10	26	0.939759036145
10	27	0.10843373494
10	28	0.204819277108
10	29	0.204819277108
10	30	0.144578313253
10	31	0.0602409638554
10	32	0.132530120482
10	33	0.0843373493976
10	34	0.0843373493976
10	35	0.951807228916
10	36	0.927710843373
10	37	0.963855421687
10	38	0.819277108434
10	39	0.144578313253
10	40	0.915662650602
10	41	0.722891566265
10	42	0.939759036145
10	43	0.879518072289
10	44	0.963855421687
10	45	0.0963855421687
10	46	0.10843373494
10	47	0.939759036145
10	48	0.0722891566265
10	49	0.963855421687
10	50	0.951807228916
10	51	0.807228915663
10	52	0.843373493976
10	53	0.963855421687
10	54	0.903614457831
10	55	0.915662650602
10	56	0.542168674699
10	57	0.168674698795
10	58	0.228915662651
10	59	0.951807228916
10	60	0.0843373493976
10	61	0.0843373493976
10	62	0.0963855421687
10	63	0.10843373494
10	64	0.144578313253
10	65	0.10843373494
10	66	0.144578313253
10	67	0.10843373494
10	68	0.0602409638554
10	69	0.0963855421687
10	70	0.240963855422
10	71	0.927710843373
10	72	0.963855421687
10	73	0.120481927711
10	74	0.638554216867
10	75	0.0963855421687
10	76	0.180722891566
10	77	0.903614457831
10	78	0.66265060241
10	79	0.939759036145
10	80	0.915662650602
10	81	0.795180722892
10	82	0.963855421687
10	83	0.10843373494
10	84	0.963855421687
10	85	0.963855421687
10	86	0.939759036145
10	87	0.132530120482
10	88	0.0843373493976
10	89	0.0843373493976
10	90	0.144578313253
